ID,Level,TargetExp,IconID,InventorySlot,AddCoin,AtkPower,DefPower,Health,CraftLevel,ChargeSpeed
710126,126,50500,930001,20,50600,680,254,6400,127,0.3
710127,127,50900,930001,20,51000,685,256,6450,128,0.3
710128,128,51300,930001,20,51400,690,258,6500,129,0.3
710129,129,51700,930001,20,51800,695,260,6550,130,0.3
710130,130,52100,930001,20,52200,700,262,6600,131,0.3
710131,131,52500,930001,20,52600,705,264,6650,132,0.3
710132,132,52900,930001,20,53000,710,266,6700,133,0.3
710133,133,53300,930001,20,53400,715,268,6750,134,0.3
710134,134,53700,930001,20,53800,720,270,6800,135,0.3
710135,135,54100,930001,20,54200,725,272,6850,136,0.3
710136,136,54500,930001,20,54600,730,274,6900,137,0.3
710137,137,54900,930001,20,55000,735,276,6950,138,0.3
710138,138,55300,930001,20,55400,740,278,7000,139,0.3
710139,139,55700,930001,20,55800,745,280,7050,140,0.3
710140,140,56100,930001,20,56200,750,282,7100,141,0.3
710141,141,56500,930001,20,56600,755,284,7150,142,0.3
710142,142,56900,930001,20,57000,760,286,7200,143,0.3
710143,143,57300,930001,20,57400,765,288,7250,144,0.3
710144,144,57700,930001,20,57800,770,290,7300,145,0.3
710145,145,58100,930001,20,58200,775,292,7350,146,0.3
710146,146,58500,930001,20,58600,780,294,7400,147,0.3
710147,147,58900,930001,20,59000,785,296,7450,148,0.3
710148,148,59300,930001,20,59400,790,298,7500,149,0.3
710149,149,59700,930001,20,59800,795,300,7550,150,0.3
710150,150,60100,930001,20,60200,800,302,7600,151,0.3
710151,151,60500,930001,20,60600,805,304,7650,152,0.3
710152,152,60900,930001,20,61000,810,306,7700,153,0.3
710153,153,61300,930001,20,61400,815,308,7750,154,0.3
710154,154,61700,930001,20,61800,820,310,7800,155,0.3
710155,155,62100,930001,20,62200,825,312,7850,156,0.3
710156,156,62500,930001,20,62600,830,314,7900,157,0.3
710157,157,62900,930001,20,63000,835,316,7950,158,0.3
710158,158,63300,930001,20,63400,840,318,8000,159,0.3
710159,159,63700,930001,20,63800,845,320,8050,160,0.3
710160,160,64100,930001,20,64200,850,322,8100,161,0.3
710161,161,64500,930001,20,64600,855,324,8150,162,0.3
710162,162,64900,930001,20,65000,860,326,8200,163,0.3
710163,163,65300,930001,20,65400,865,328,8250,164,0.3
710164,164,65700,930001,20,65800,870,330,8300,165,0.3
710165,165,66100,930001,20,66200,875,332,8350,166,0.3
710166,166,66500,930001,20,66600,880,334,8400,167,0.3
710167,167,66900,930001,20,67000,885,336,8450,168,0.3
710168,168,67300,930001,20,67400,890,338,8500,169,0.3
710169,169,67700,930001,20,67800,895,340,8550,170,0.3
710170,170,68100,930001,20,68200,900,342,8600,171,0.3
710171,171,68500,930001,20,68600,905,344,8650,172,0.3
710172,172,68900,930001,20,69000,910,346,8700,173,0.3
710173,173,69300,930001,20,69400,915,348,8750,174,0.3
710174,174,69700,930001,20,69800,920,350,8800,175,0.3
710175,175,70100,930001,20,70200,925,352,8850,176,0.3
710176,176,70500,930001,20,70600,930,354,8900,177,0.3
710177,177,70900,930001,20,71000,935,356,8950,178,0.3
710178,178,71300,930001,20,71400,940,358,9000,179,0.3
710179,179,71700,930001,20,71800,945,360,9050,180,0.3
710180,180,72100,930001,20,72200,950,362,9100,181,0.3
710181,181,72500,930001,20,72600,955,364,9150,182,0.3
710182,182,72900,930001,20,73000,960,366,9200,183,0.3
710183,183,73300,930001,20,73400,965,368,9250,184,0.3
710184,184,73700,930001,20,73800,970,370,9300,185,0.3
710185,185,74100,930001,20,74200,975,372,9350,186,0.3
710186,186,74500,930001,20,74600,980,374,9400,187,0.3
710187,187,74900,930001,20,75000,985,376,9450,188,0.3
710188,188,75300,930001,20,75400,990,378,9500,189,0.3
710189,189,75700,930001,20,75800,995,380,9550,190,0.3
710190,190,76100,930001,20,76200,1000,382,9600,191,0.3
710191,191,76500,930001,20,76600,1005,384,9650,192,0.3
710192,192,76900,930001,20,77000,1010,386,9700,193,0.3
710193,193,77300,930001,20,77400,1015,388,9750,194,0.3
710194,194,77700,930001,20,77800,1020,390,9800,195,0.3
710195,195,78100,930001,20,78200,1025,392,9850,196,0.3
710196,196,78500,930001,20,78600,1030,394,9900,197,0.3
710197,197,78900,930001,20,79000,1035,396,9950,198,0.3
710198,198,79300,930001,20,79400,1040,398,10000,199,0.3
710199,199,79700,930001,20,79800,1045,400,10050,200,0.3
710200,200,80100,930001,20,80200,1050,402,10100,201,0.3
